id_localidad,localidad,padre,id_municipio,localidad_activo
806,Antonio Burruel,,4,1
807,Antonio Méndez,,4,1
808,Arsenio Portillo (Los Molinos),,4,1
809,Arturo Monteverde,,4,1
810,Asociación Ganadera,,4,1
811,Barcelia,,4,1
812,Bellotero,,4,1
813,Bonillas,,4,1
814,Caboca (San Felipe),,4,1
815,Campo Anita,,4,1
816,Campo Experimental CBTA,,4,1
817,Campo Oslo,,4,1
818,Campo Palo Fierral (Charolais),,4,1
819,Chamberlain,,4,1
820,Charolais,,4,1
821,Chula Vista,,4,1
822,Compostela,,4,1
823,Corralejo (San Alberto),,4,1
824,Cortijo de los Chirriones,,4,1
825,Cuba,,4,1
826,Curibabi,,4,1
827,David López,,4,1
828,Don Luciano,,4,1
829,Ejido Alfredo B. Bonfil (El Cuatín),,4,1
830,Ejido General Francisco Javier Mújica (Manjarrez),,4,1
831,El Alamito,,4,1
832,El Álamo,,4,1
833,El Albur,,4,1
834,El Año Nuevo,,4,1
835,El Arenoso,,4,1
836,El Bajío,,4,1
837,El Batamote,,4,1
838,El Caliroy,,4,1
839,El Caliroy (San José Dos),,4,1
840,El Canán,,4,1
841,El Carnero,,4,1
842,El Carrizal,,4,1
843,El Chango,,4,1
844,El Chivero (Los Chiveros),,4,1
845,El Choyal,,4,1
846,El Chucurate,,4,1
847,El Cimarrón Uno,,4,1
848,El Cobre,,4,1
849,El Codo,,4,1
850,El Colorado,,4,1
851,El Comanche,,4,1
852,El Consuelo,,4,1
853,El Coyote,,4,1
854,El Crucero,,4,1
855,El Cubabi,,4,1
856,El Cumarito,,4,1
857,El Cúmaro,,4,1
858,El Desmonte,,4,1
859,El Desmonte Uno (Humberto Paredes),,4,1
860,El Divisadero (El Sauce),,4,1
861,El Dos,,4,1
862,El Dragón,,4,1
863,El Establo (Agua Blanca),,4,1
864,El Futuro,,4,1
865,El Futuro (El Establo),,4,1
866,El Gato,,4,1
867,El Injerto,,4,1
868,El Kilómetro,,4,1
869,El Labrador,,4,1
870,El Latifundio,,4,1
871,El Librillo,,4,1
872,El Llano,,4,1
873,El Llañito,,4,1
874,El Mezquite,,4,1
875,El Milagro del Arenoso,,4,1
